switch_3,switch_4,light_4,light_5,light_6,position_robot_1,room_robot_1,switch_1,switch_2,light_1,light_2,light_3,switch_7,switch_8,light_10,light_11,light_12,switch_5,switch_6,light_7,light_8,light_9,action
0,0,1,0,1,8,1,1,1,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,3
0,0,1,0,1,6,1,1,1,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,3,0,1,1,1,1,0,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,1,0,1,1,1,1,0,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,1,0,0,1,0,0,0,0,0,-1,-1,-1,1,0,-1,-1,-1,5
0,0,-1,-1,-1,2,0,0,1,0,0,0,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,2,0,1,1,1,1,0,0,0,-1,-1,-1,1,0,-1,-1,-1,5
0,0,-1,-1,-1,3,0,1,1,1,1,0,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,2,0,1,1,1,1,0,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,2,0,1,0,1,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,6
0,0,-1,-1,-1,1,0,1,0,1,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,2,0,1,0,1,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,3,0,1,0,1,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,4,0,1,0,1,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,4,0,0,0,0,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,5
0,0,-1,-1,-1,4,0,1,0,1,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,5
0,0,-1,-1,-1,4,0,1,1,1,1,0,0,0,-1,-1,-1,1,0,-1,-1,-1,6
0,0,-1,-1,-1,4,0,0,1,0,0,0,0,0,-1,-1,-1,1,0,-1,-1,-1,5
0,0,-1,-1,-1,4,0,0,0,0,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,6
0,0,-1,-1,-1,4,0,0,1,0,0,0,0,0,-1,-1,-1,1,0,-1,-1,-1,6
0,0,-1,-1,-1,1,0,0,1,0,0,0,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,3,0,0,1,0,0,0,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,4,0,0,1,0,0,0,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,4,0,0,1,0,0,0,0,0,-1,-1,-1,1,0,-1,-1,-1,1
0,0,-1,-1,-1,1,0,0,1,0,0,0,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,1,0,0,0,0,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,6
0,0,-1,-1,-1,2,0,0,0,0,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,1,0,0,0,0,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,3,0,0,0,0,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,4,0,0,0,0,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,-1,-1,-1,3,0,0,0,0,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,0,0,1,6,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,0,0,1,5,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
1,0,1,0,1,5,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,2
1,0,1,0,1,6,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
1,0,1,0,1,5,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
1,0,1,0,1,7,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,0,0,1,7,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,2
0,0,0,0,1,6,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,0,0,1,7,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,0,0,0,1,8,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
0,1,0,0,0,8,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,3
1,1,1,0,0,8,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,2
0,1,0,0,0,8,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,2
0,0,0,0,1,8,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,3
1,0,1,0,1,8,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,2
1,1,1,0,0,8,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,3
1,1,1,0,0,5,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
1,0,1,0,1,5,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,3
1,0,1,0,1,8,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
1,0,1,0,1,7,1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,4
1,0,-1,-1,-1,13,3,0,0,-1,-1,-1,0,0,1,0,1,1,0,-1,-1,-1,4
1,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,0,1,0,1,1,0,-1,-1,-1,7
1,0,-1,-1,-1,13,3,0,0,-1,-1,-1,0,0,1,0,1,1,0,-1,-1,-1,7
1,0,-1,-1,-1,13,3,0,0,-1,-1,-1,0,1,0,0,0,1,0,-1,-1,-1,8
1,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,1,0,0,0,1,0,-1,-1,-1,7
1,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,1,0,0,0,1,0,-1,-1,-1,4
1,0,-1,-1,-1,14,3,0,0,-1,-1,-1,0,1,0,0,0,1,0,-1,-1,-1,7
1,0,-1,-1,-1,14,3,0,0,-1,-1,-1,0,0,1,0,1,1,0,-1,-1,-1,8
1,0,-1,-1,-1,13,3,0,0,-1,-1,-1,0,0,1,0,1,1,0,-1,-1,-1,4
1,0,-1,-1,-1,14,3,0,0,-1,-1,-1,0,0,1,0,1,1,0,-1,-1,-1,4
1,0,-1,-1,-1,15,3,0,0,-1,-1,-1,0,0,1,0,1,1,0,-1,-1,-1,4
1,0,-1,-1,-1,16,3,0,0,-1,-1,-1,0,0,1,0,1,1,0,-1,-1,-1,4
1,0,-1,-1,-1,16,3,0,0,-1,-1,-1,0,0,1,0,1,1,0,-1,-1,-1,1
1,0,-1,-1,-1,16,3,0,0,-1,-1,-1,1,0,1,0,1,1,0,-1,-1,-1,7
1,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,0,1,0,1,1,0,-1,-1,-1,4
1,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,0,1,0,1,1,0,-1,-1,-1,4
1,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,1,0,0,0,1,0,-1,-1,-1,8
1,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,1,0,0,0,1,0,-1,-1,-1,4
1,0,-1,-1,-1,15,3,0,0,-1,-1,-1,1,1,0,0,0,1,0,-1,-1,-1,4
1,0,-1,-1,-1,15,3,0,0,-1,-1,-1,1,0,1,0,1,1,0,-1,-1,-1,8
1,0,-1,-1,-1,16,3,0,0,-1,-1,-1,1,0,1,0,1,1,0,-1,-1,-1,4
1,0,-1,-1,-1,15,3,0,0,-1,-1,-1,1,0,1,0,1,1,0,-1,-1,-1,4
1,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,0,1,0,1,1,0,-1,-1,-1,4
1,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
1,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,9
1,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
1,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
1,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,9
1,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
1,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,10
1,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
1,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,1,9
1,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,9
1,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,10
1,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
1,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
1,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
1,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,10
1,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
1,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
1,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
1,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,10
1,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
1,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
1,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,9
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,1,10
1,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,1,4
1,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,1,4
1,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,10
1,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
1,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
1,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,4
1,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,4
1,0,-1,-1,-1,13,3,0,0,-1,-1,-1,0,0,0,0,1,0,0,-1,-1,-1,7
1,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,7
1,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,4
1,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,1,1,0,0,0,0,-1,-1,-1,8
1,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,1,1,0,0,0,0,-1,-1,-1,4
1,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,1,1,0,0,0,0,-1,-1,-1,4
1,0,-1,-1,-1,15,3,0,0,-1,-1,-1,1,1,1,0,0,0,0,-1,-1,-1,4
1,0,-1,-1,-1,15,3,0,0,-1,-1,-1,0,1,1,0,0,0,0,-1,-1,-1,7
1,0,-1,-1,-1,15,3,0,0,-1,-1,-1,1,1,1,0,0,0,0,-1,-1,-1,7
1,0,-1,-1,-1,15,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,8
1,0,-1,-1,-1,16,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,4
1,0,-1,-1,-1,15,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,4
1,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,4
1,0,1,0,1,7,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,4
1,0,1,0,1,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,4
1,0,1,0,1,6,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,4
0,0,0,0,1,6,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,2
0,0,0,0,1,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,4
1,0,1,0,1,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,2
1,1,1,0,0,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,3
1,1,1,0,0,6,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,4
1,1,1,0,0,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,4
0,1,0,0,0,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,2
1,1,1,0,0,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,2
1,0,1,0,1,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,3
1,0,1,0,1,7,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,4
1,0,1,0,1,8,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,4
1,0,1,0,1,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,4
1,0,1,0,1,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,1
1,0,1,0,1,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,1
0,0,0,0,1,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,2
0,1,0,0,0,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,3
0,0,0,0,1,5,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,3
0,0,0,0,1,6,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,4
0,0,0,0,1,7,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,4
0,0,0,0,1,8,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,4
0,0,0,0,1,7,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,4
0,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,4
0,0,-1,-1,-1,13,3,0,0,-1,-1,-1,0,0,0,0,1,0,0,-1,-1,-1,7
0,0,-1,-1,-1,14,3,0,0,-1,-1,-1,0,0,0,0,1,0,0,-1,-1,-1,4
0,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,7
0,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,4
0,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,4
0,0,-1,-1,-1,15,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,4
0,0,-1,-1,-1,16,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,4
0,0,-1,-1,-1,16,3,0,0,-1,-1,-1,1,1,1,0,0,0,0,-1,-1,-1,8
0,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,1,1,0,0,0,0,-1,-1,-1,4
0,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,1,1,0,0,0,0,-1,-1,-1,4
0,0,-1,-1,-1,15,3,0,0,-1,-1,-1,1,1,1,0,0,0,0,-1,-1,-1,4
0,0,-1,-1,-1,15,3,0,0,-1,-1,-1,0,1,1,0,0,0,0,-1,-1,-1,7
0,0,-1,-1,-1,15,3,0,0,-1,-1,-1,1,1,1,0,0,0,0,-1,-1,-1,7
0,0,-1,-1,-1,16,3,0,0,-1,-1,-1,1,1,1,0,0,0,0,-1,-1,-1,4
0,0,-1,-1,-1,16,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,8
0,0,-1,-1,-1,16,3,0,0,-1,-1,-1,0,0,0,0,1,0,0,-1,-1,-1,7
0,0,-1,-1,-1,16,3,0,0,-1,-1,-1,0,1,1,0,0,0,0,-1,-1,-1,8
0,0,-1,-1,-1,16,3,0,0,-1,-1,-1,0,0,0,0,1,0,0,-1,-1,-1,8
0,0,-1,-1,-1,13,3,0,0,-1,-1,-1,0,0,0,0,1,0,0,-1,-1,-1,4
0,0,-1,-1,-1,15,3,0,0,-1,-1,-1,0,0,0,0,1,0,0,-1,-1,-1,4
0,0,-1,-1,-1,16,3,0,0,-1,-1,-1,0,0,0,0,1,0,0,-1,-1,-1,4
0,0,-1,-1,-1,16,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,7
0,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,-1,4
0,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,9
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,9
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,1,10
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,9
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,1,9
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,10
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
0,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
0,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
0,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,1
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,1
0,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,9
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,10
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,10
0,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
0,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
0,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,1
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,10
0,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
0,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
0,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
0,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,0,1,0,1,1,1,-1,-1,-1,4
0,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,0,1,0,1,1,1,-1,-1,-1,4
0,0,-1,-1,-1,13,3,0,0,-1,-1,-1,0,0,1,0,1,1,1,-1,-1,-1,7
0,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,0,1,0,1,1,1,-1,-1,-1,7
0,0,-1,-1,-1,13,3,0,0,-1,-1,-1,1,1,0,0,0,1,1,-1,-1,-1,8
0,0,-1,-1,-1,13,3,0,0,-1,-1,-1,0,1,0,0,0,1,1,-1,-1,-1,7
0,0,-1,-1,-1,14,3,0,0,-1,-1,-1,0,1,0,0,0,1,1,-1,-1,-1,4
0,0,-1,-1,-1,13,3,0,0,-1,-1,-1,0,1,0,0,0,1,1,-1,-1,-1,4
0,0,-1,-1,-1,15,3,0,0,-1,-1,-1,0,1,0,0,0,1,1,-1,-1,-1,4
0,0,-1,-1,-1,16,3,0,0,-1,-1,-1,0,1,0,0,0,1,1,-1,-1,-1,4
0,0,-1,-1,-1,16,3,0,0,-1,-1,-1,1,1,0,0,0,1,1,-1,-1,-1,7
0,0,-1,-1,-1,16,3,0,0,-1,-1,-1,1,0,1,0,1,1,1,-1,-1,-1,8
0,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,0,1,0,1,1,1,-1,-1,-1,4
0,0,-1,-1,-1,15,3,0,0,-1,-1,-1,1,0,1,0,1,1,1,-1,-1,-1,4
0,0,-1,-1,-1,16,3,0,0,-1,-1,-1,1,0,1,0,1,1,1,-1,-1,-1,4
0,0,-1,-1,-1,14,3,0,0,-1,-1,-1,1,0,1,0,1,1,1,-1,-1,-1,4
0,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
0,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,1,9
0,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,9
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,10
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,9
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,9
0,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,0,0,1,1,4
0,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,10
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
0,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
0,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,4
0,0,-1,-1,-1,12,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,1,9
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,1,4
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,1,4
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,10
0,0,-1,-1,-1,9,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,4
0,0,-1,-1,-1,10,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,1,10
0,0,-1,-1,-1,11,2,0,0,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,1,4
